,进水流量,进水COD,进水SS,进水TP,进水TN,进水NH3,进水温度,进水ph,MLSS_2#A,MLSS_2#B,MLSS_3#,DO_2#A,DO_2#B,DO_3#,内回流量_2#A,内回流量_2#B,内回流量_3#,外回流量_2#A,外回流量_2#B,外回流量_3#,出水流量,出水COD,出水TP,出水TN,出水NH3
22,-0.4094537317928527,-0.17391304347826086,-0.21880064829821722,0.031319910514541416,0.21126760563380276,0.887755102040817,-1.0,0.4999999999999978,0.9324100378787878,0.9071538461538462,-0.08736059479553904,0.545454545454545,-0.30263157963296394,-0.19318182035124076,-0.4094644870625421,-0.4094644870625421,-0.40946448933927193,-0.40946448933927126,-0.40946448933927126,-0.4094644893392707,-0.416214360800635,0.0,4.440892098500626e-16,-0.6254180602006691,-1.0
23,-0.39107984250952044,-0.14855072463768115,-0.19286871961102103,0.05816554809843377,0.25070422535211234,0.9489795918367347,-1.0,0.4999999999999978,0.966205018939394,0.9535769230769231,-0.12360594795539037,0.5303030309090904,-0.3355263143871198,-0.23295454405991822,-0.3910852201443662,-0.3910852201443662,-0.3910852186265442,-0.3910852151355606,-0.3910852151355606,-0.3910852212827295,-0.3976358526591294,-0.09999999999999998,4.440892098500626e-16,-0.618729096989967,-1.0
24,-0.37270595322618816,-0.11956521739130432,-0.16693679092382496,0.08501118568232657,0.29014084507042237,1.0,-1.0,0.4999999999999978,1.0,1.0,-0.1598513011152416,0.515151516363636,-0.3684210522991693,-0.2727272732231416,-0.3727059532261876,-0.3727059532261876,-0.3727059532261884,-0.3727059532261894,-0.3727059532261894,-0.37270595322618827,-0.37905734451762385,-0.09999999999999998,4.440892098500626e-16,-0.618729096989967,-1.0
25,-0.41190645237634205,-0.050724637681159424,-0.09238249594813619,0.14317673378076057,0.323943661971831,0.8775510204081638,-1.0,0.4999999999999978,0.9791666666666667,0.9956153846153846,-0.21236059479553904,0.42045454545454475,-0.3947368407340722,-0.22727272950413369,-0.4119118300111879,-0.4119118300111879,-0.4119118284933647,-0.41191182500238155,-0.41191182500238155,-0.41191183114955066,-0.41784480724261475,-0.19999999999999996,4.440892098500626e-16,-0.5518394648829432,-1.0
26,-0.4315282170442566,-0.01449275362318836,-0.05672609400324147,0.17002237136465292,0.340845070422535,0.8265306122448983,-1.0,0.4999999999999978,0.96875,0.993423076923077,-0.2386152416356877,0.3731060618181816,-0.4078947365304705,-0.20454545491735565,-0.431514770680415,-0.431514770680415,-0.4315147714393248,-0.431514767037649,-0.431514767037649,-0.43151476293953606,-0.43728144509042544,-0.19999999999999996,4.440892098500626e-16,-0.5183946488294316,-1.0
27,-0.4511069515264958,0.021739130434782705,-0.021069692058346856,0.19910514541387014,0.3577464788732392,0.7653061224489799,-1.0,0.4999999999999978,0.9583333333333333,0.9912307692307691,-0.2648698884758365,0.3257575763636362,-0.42105263232687007,-0.18181818033057995,-0.4511177067961857,-0.4511177067961857,-0.45111770907291293,-0.4511177090729166,-0.4511177090729166,-0.45111770907291526,-0.4566751764529209,-0.19999999999999996,4.440892098500626e-16,-0.4849498327759201,-1.0
28,-0.4903074506766497,0.0905797101449275,0.05348460291734192,0.25727069351230414,0.3915492957746476,0.6428571428571428,-1.0,0.4999999999999978,0.9375,0.9868461538461539,-0.3173791821561338,0.23106060727272704,-0.44736842076177297,-0.13636363661157203,-0.4903235881346424,-0.4903235881346424,-0.49032358434009227,-0.49032358084910876,-0.49032358084910876,-0.49032358699627765,-0.4954626391779118,-0.30000000000000004,4.440892098500626e-16,-0.41806020066889626,-1.0
29,-0.5099292153445643,0.12681159420289845,0.08914100486223653,0.28411633109619694,0.408450704225352,0.5918367346938775,-1.0,0.4999999999999978,0.9270833333333333,0.9846538461538461,-0.3436338289962825,0.18371212181818186,-0.4605263165581712,-0.11363636202479388,-0.509926524250413,-0.509926524250413,-0.5099265272860493,-0.5099265228843763,-0.5099265228843763,-0.509926518786263,-0.5148992770257224,-0.30000000000000004,4.440892098500626e-16,-0.3846153846153847,-1.0
30,-0.5295079498268035,0.1594202898550725,0.12479740680713136,0.3131991051454137,0.4309859154929576,0.5306122448979598,-0.33333333333333337,0.4999999999999978,0.9166666666666667,0.9824615384615385,-0.36988847583643125,0.1363636363636358,-0.47368420919667586,-0.09090909289256166,-0.52952946491964,-0.52952946491964,-0.5295294649196405,-0.5295294649196438,-0.5295294649196438,-0.5295294649196423,-0.5342930083882178,-0.30000000000000004,4.440892098500626e-16,-0.3444816053511709,-0.7142857142857144
31,-0.5687514791626326,0.2318840579710144,0.19935170178282013,0.3713646532438477,0.46478873239436624,0.4081632653061227,-0.33333333333333337,0.0,0.8958333333333333,0.9780769230769231,-0.4223977695167286,0.041666667272727276,-0.5000000007894738,-0.045454543719010365,-0.5687353417046404,-0.5687353417046404,-0.5687353401868198,-0.568735336695836,-0.568735336695836,-0.5687353428430046,-0.5730804711132087,-0.4,4.440892098500626e-16,-0.2775919732441472,-0.7142857142857144
