,进水流量,进水COD,进水SS,进水TP,进水TN,进水NH3,进水温度,进水ph,MLSS_2#A,MLSS_2#B,MLSS_3#,DO_2#A_1,DO_2#A_2,DO_2#A_3,DO_2#B_1,DO_2#B_2,DO_2#B_3,DO_3#_1,DO_3#_2,DO_3#_3,内回流量_2#A,内回流量_2#B,内回流量_3#,外回流量_2#A,外回流量_2#B,外回流量_3#,出水流量,出水COD,出水TP,出水TN,出水NH3
100,-0.4452548462746617,-0.24637681159420288,-0.44894651539708263,-0.35570469798657733,0.8309859154929577,0.734693877551021,0.33333333333333326,0.0,0.37606534090909083,-0.07776923076923081,-0.4286245353159851,-0.07142857142857117,0.38124999999999964,-0.3382352941176471,0.6249999999999998,0.7750000000000004,0.1750000000000007,-0.6250000000000007,-0.30357142857142905,-0.05208333333333259,-0.44525215518050953,-0.44525215518050953,-0.44525215821614705,-0.44525215381447514,-0.44525215381447514,-0.4452521497163592,-0.45894922017462936,-0.19999999999999996,4.440892098500626e-16,0.2709030100334444,0.714285714285714
101,-0.4415972804922653,-0.2681159420289855,-0.4586709886547812,-0.3803131991051454,0.8028169014084507,0.7142857142857146,0.33333333333333326,0.0,0.34309895833333326,-0.10950000000000004,-0.43773234200743494,-0.10714285714285732,0.3781249999999998,-0.2867647058823528,0.5624999999999996,0.7375000000000005,0.1374999999999993,-0.5625000000000004,-0.330357142857143,-0.08854166666666685,-0.441601314856764,-0.441601314856764,-0.4416013125800341,-0.4416013130353803,-0.4416013130353803,-0.4416013109863235,-0.4554737948640937,-0.19999999999999996,4.440892098500626e-16,0.29765886287625376,0.714285714285714
102,-0.4379397147098689,-0.28985507246376807,-0.4683954619124797,-0.40492170022371365,0.7746478873239437,0.693877551020408,0.33333333333333326,0.0,0.3101325757575757,-0.14123076923076927,-0.4468401486988848,-0.1428571428571429,0.375,-0.23529411764705954,0.49999999999999933,0.7000000000000008,0.09999999999999964,-0.5000000000000004,-0.3571428571428571,-0.12499999999999956,-0.43795046997955955,-0.43795046997955955,-0.4379504722562868,-0.437950472256289,-0.437950472256289,-0.4379504722562879,-0.451998369553558,-0.19999999999999996,4.440892098500626e-16,0.33110367892976544,0.714285714285714
103,-0.43066761333075154,-0.33333333333333337,-0.4878444084278768,-0.4541387024608501,0.7183098591549295,0.6632653061224492,0.33333333333333326,0.0,0.24419981060606055,-0.20469230769230773,-0.46505576208178434,-0.21428571428571408,0.3687499999999999,-0.1323529411764709,0.37499999999999956,0.6249999999999998,0.025000000000000355,-0.3750000000000001,-0.41071428571428636,-0.19791666666666652,-0.43064878933206585,-0.43064878933206585,-0.43064878629642644,-0.4306487906981029,-0.4306487906981029,-0.43064878045282073,-0.4450475189324866,-0.19999999999999996,4.440892098500626e-16,0.38461538461538414,0.714285714285714
104,-0.42701004754835514,-0.35507246376811596,-0.49756888168557534,-0.47874720357941836,0.6901408450704225,0.6428571428571428,0.33333333333333326,0.0,0.21123342803030298,-0.23642307692307696,-0.4741635687732342,-0.24999999999999967,0.36562499999999964,-0.08088235294117652,0.3125,0.5875000000000001,-0.01249999999999929,-0.31250000000000067,-0.43750000000000044,-0.23437499999999922,-0.4269979444548614,-0.4269979444548614,-0.42699794597267915,-0.42699794991901163,-0.42699794991901163,-0.42699794172278516,-0.44157209362195093,-0.19999999999999996,4.440892098500626e-16,0.4113712374581935,0.714285714285714
105,-0.42335248176595885,-0.37681159420289856,-0.5072933549432739,-0.5033557046979865,0.6619718309859155,0.6224489795918371,0.33333333333333326,0.0,0.17826704545454541,-0.2681538461538462,-0.483271375464684,-0.2857142857142859,0.3624999999999998,-0.02941176470588225,0.24999999999999978,0.5500000000000005,-0.05000000000000071,-0.25000000000000056,-0.4642857142857144,-0.2708333333333335,-0.4233471041311132,-0.4233471041311132,-0.4233471003365631,-0.4233470968455809,-0.4233470968455809,-0.4233471029927496,-0.43809666831141525,-0.19999999999999996,4.440892098500626e-16,0.43812709030100283,0.714285714285714
106,-0.41603735020116617,-0.42028985507246375,-0.526742301458671,-0.5525727069351232,0.6056338028169015,0.5918367346938775,0.33333333333333326,0.0,0.11233428030303028,-0.33161538461538465,-0.5014869888475837,-0.3571428571428571,0.35624999999999973,0.0735294117647054,0.12499999999999978,0.4750000000000012,-0.125,-0.12500000000000022,-0.5178571428571425,-0.3437499999999989,-0.4160454189301631,-0.4160454189301631,-0.4160454196890716,-0.41604541528739836,-0.41604541528739836,-0.4160454111892824,-0.4311458176903439,-0.19999999999999996,4.440892098500626e-16,0.49832775919732386,0.714285714285714
107,-0.41237978441876977,-0.44202898550724634,-0.5364667747163696,-0.5771812080536912,0.5774647887323943,0.5714285714285718,0.33333333333333326,0.0,0.07936789772727271,-0.3633461538461539,-0.5105947955390335,-0.3928571428571427,0.3531249999999999,0.12499999999999978,0.062499999999999556,0.4374999999999998,-0.16249999999999964,-0.06250000000000011,-0.5446428571428578,-0.38020833333333315,-0.41239457405295865,-0.41239457405295865,-0.41239457405295543,-0.4123945745083035,-0.4123945745083035,-0.4123945724592467,-0.4276703923798082,-0.19999999999999996,4.440892098500626e-16,0.5250836120401332,0.714285714285714
108,-0.40872221863637337,-0.46376811594202894,-0.5429497568881685,-0.6017897091722595,0.5549295774647884,0.5510204081632655,0.33333333333333326,0.4999999999999978,0.04640151515151514,-0.3950769230769231,-0.5197026022304833,-0.42857142857142816,0.34999999999999964,0.17647058823529393,0.0,0.40000000000000013,-0.1999999999999993,-7.771561172376096e-16,-0.5714285714285718,-0.41666666666666585,-0.40874373372921047,-0.40874373372921047,-0.40874373372921124,-0.40874373372921224,-0.40874373372921224,-0.40874373372921113,-0.42415206058395727,-0.09999999999999998,4.440892098500626e-16,0.5518394648829426,1.0
109,-0.401450117257256,-0.5108695652173914,-0.5623987034035656,-0.6532438478747205,0.4985915492957744,0.5204081632653066,-0.33333333333333337,0.4999999999999978,-0.01953125,-0.45853846153846156,-0.5379182156133828,-0.5,0.34375,0.2794117647058816,-0.12500000000000044,0.32500000000000084,-0.27500000000000036,0.12499999999999956,-0.6249999999999998,-0.4895833333333328,-0.4014420485282604,-0.4014420485282604,-0.4014420477693479,-0.40144205217102613,-0.40144205217102613,-0.40144204192574395,-0.4172012099628859,-0.09999999999999998,4.440892098500626e-16,0.6053511705685615,1.0
